timestamp,subject_id,activity_label,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1781609065.653,S01,RUNNING,562,-133,16483,15,58,-2,203,-74,293
1781609065.663,S01,RUNNING,841,111,16503,29,0,0,192,-100,292
1781609065.673,S01,RUNNING,1007,250,17086,25,32,0,206,-103,314
1781609065.683,S01,RUNNING,1424,453,17926,-16,39,14,194,-105,318
1781609065.693,S01,RUNNING,1268,621,18411,26,40,-11,207,-96,290
1781609065.703,S01,RUNNING,999,839,19338,12,42,-12,197,-96,293
1781609065.713,S01,RUNNING,1258,751,20628,36,48,18,182,-90,311
1781609065.723,S01,RUNNING,909,607,21302,64,32,-6,190,-109,305
1781609065.733,S01,RUNNING,1231,897,21718,53,22,-18,195,-103,306
1781609065.743,S01,RUNNING,899,581,22346,72,17,-7,213,-79,308
1781609065.753,S01,RUNNING,834,558,22291,56,7,-4,209,-97,297
1781609065.763,S01,RUNNING,903,470,22142,23,30,23,216,-101,303
1781609065.773,S01,RUNNING,351,270,21857,-2,-4,13,216,-109,302
1781609065.783,S01,RUNNING,160,193,20761,47,19,17,194,-94,291
1781609065.793,S01,RUNNING,99,-68,19961,36,-3,12,198,-89,303
1781609065.803,S01,RUNNING,154,-410,19266,15,-20,14,195,-91,312
1781609065.813,S01,RUNNING,-416,-209,18249,-4,-3,-10,193,-102,296
1781609065.823,S01,RUNNING,-796,-585,17679,7,-36,-2,181,-96,301
1781609065.833,S01,RUNNING,-613,-730,16772,11,-14,-14,199,-83,302
1781609065.843,S01,RUNNING,-623,-662,16246,21,-26,-3,187,-89,297
1781609065.853,S01,RUNNING,-669,-770,16677,3,-46,10,199,-107,306
1781609065.863,S01,RUNNING,-1041,-729,16487,24,-26,2,221,-125,293
1781609065.873,S01,RUNNING,-1131,-413,16974,-36,-28,19,194,-97,313
1781609065.883,S01,RUNNING,-968,-640,17341,-5,-16,-17,201,-92,306
1781609065.893,S01,RUNNING,-1465,-507,18355,-28,-20,7,209,-110,290
1781609065.903,S01,RUNNING,-1258,-290,19414,-21,-28,-18,202,-100,316
1781609065.913,S01,RUNNING,-1156,5,20088,-49,-59,1,202,-102,301
1781609065.923,S01,RUNNING,-1073,-116,21229,-23,15,11,196,-98,292
1781609065.933,S01,RUNNING,-1144,13,21696,-41,-57,-3,197,-105,311
1781609065.943,S01,RUNNING,-964,349,22181,-62,-6,8,190,-87,304
1781609065.953,S01,RUNNING,-1220,370,22263,-50,-11,-14,208,-98,282
1781609065.963,S01,RUNNING,-802,632,22604,-54,-37,-24,182,-108,294
1781609065.973,S01,RUNNING,-474,821,21802,-37,-10,8,209,-90,302
1781609065.983,S01,RUNNING,-516,690,20927,-68,-3,26,185,-112,278
1781609065.993,S01,RUNNING,-176,618,20465,-40,30,-14,209,-87,300
1781609066.003,S01,RUNNING,69,746,19128,-27,-3,18,196,-90,301
1781609066.013,S01,RUNNING,138,749,18487,-28,11,0,187,-86,288
1781609066.023,S01,RUNNING,398,314,17219,4,-24,-20,205,-101,302
1781609066.033,S01,RUNNING,402,459,16684,0,61,-16,209,-104,300
1781609066.043,S01,RUNNING,676,282,16566,-7,9,0,195,-99,288
1781609066.053,S01,RUNNING,941,111,16531,4,41,-6,207,-100,309
1781609066.063,S01,RUNNING,995,-43,16569,13,35,-19,177,-106,308
1781609066.073,S01,RUNNING,982,-101,16941,23,37,-25,186,-105,297
1781609066.083,S01,RUNNING,1175,-564,17571,-13,56,-12,212,-103,298
1781609066.093,S01,RUNNING,1292,-635,18174,23,73,2,197,-111,307
1781609066.103,S01,RUNNING,892,-790,19254,5,43,0,181,-93,297
1781609066.113,S01,RUNNING,1358,-790,20232,66,49,-7,193,-100,280
1781609066.123,S01,RUNNING,1089,-613,21370,43,40,3,190,-103,304
1781609066.133,S01,RUNNING,1131,-921,21888,43,50,15,198,-111,291
1781609066.143,S01,RUNNING,1148,-783,21889,67,15,5,196,-111,296
1781609066.153,S01,RUNNING,640,-398,22448,58,41,-1,201,-80,314
1781609066.163,S01,RUNNING,596,-292,22155,26,36,13,199,-106,298
1781609066.173,S01,RUNNING,498,-287,21666,46,29,-14,213,-93,300
