timestamp,subject_id,activity_label,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1781608338.05,S01,SITTING,24,-95,16294,11,17,-2,201,-87,296
1781608338.06,S01,SITTING,-6,-43,16333,16,-28,0,196,-100,296
1781608338.07,S01,SITTING,32,-20,16308,7,-4,0,203,-101,307
1781608338.08,S01,SITTING,76,94,16340,-29,0,14,197,-102,309
1781608338.09,S01,SITTING,-11,27,16366,-2,0,-11,203,-98,295
1781608338.1,S01,SITTING,-11,-66,16450,-17,2,-12,198,-98,296
1781608338.11,S01,SITTING,78,24,16358,-3,9,18,191,-95,305
1781608338.12,S01,SITTING,38,-77,16257,14,0,-6,195,-104,302
1781608338.13,S01,SITTING,-23,54,16475,4,-5,-18,197,-101,303
1781608338.14,S01,SITTING,27,-23,16317,17,-6,-7,206,-89,304
1781608338.15,S01,SITTING,-23,-4,16379,5,-9,-4,204,-98,298
1781608338.16,S01,SITTING,-23,66,16419,-19,11,23,208,-100,301
1781608338.17,S01,SITTING,12,-64,16399,-37,-9,13,208,-104,301
1781608338.18,S01,SITTING,-95,-69,16471,2,12,17,197,-97,295
1781608338.19,S01,SITTING,-86,-29,16422,-3,0,12,199,-94,301
1781608338.2,S01,SITTING,-28,51,16315,-14,-7,14,197,-95,306
1781608338.21,S01,SITTING,-50,-75,16558,-25,9,-10,196,-101,298
1781608338.22,S01,SITTING,15,-141,16399,-11,-10,-2,190,-98,300
1781608338.23,S01,SITTING,-45,-22,16372,-2,9,-14,199,-91,301
1781608338.24,S01,SITTING,-70,27,16461,9,3,-3,193,-94,298
1781608338.25,S01,SITTING,73,60,16403,2,-8,10,199,-103,303
1781608338.26,S01,SITTING,-11,-23,16415,24,7,2,210,-112,296
1781608338.27,S01,SITTING,3,-20,16583,-15,8,19,197,-98,306
1781608338.28,S01,SITTING,-71,57,16361,13,17,-17,200,-96,303
1781608338.29,S01,SITTING,-27,-93,16358,0,14,7,204,-105,295
1781608338.3,S01,SITTING,5,-19,16393,10,7,-18,201,-100,308
1781608338.31,S01,SITTING,-57,9,16469,-6,-16,1,201,-101,300
1781608338.32,S01,SITTING,18,22,16263,16,36,11,198,-99,296
1781608338.33,S01,SITTING,-30,-25,16226,4,-21,-3,198,-102,305
1781608338.34,S01,SITTING,-14,1,16337,-10,14,8,195,-93,302
1781608338.35,S01,SITTING,-30,-124,16253,0,6,-14,204,-99,291
1781608338.36,S01,SITTING,92,-32,16350,-3,-17,-24,191,-104,297
1781608338.37,S01,SITTING,0,22,16424,7,-1,8,204,-95,301
1781608338.38,S01,SITTING,-52,-49,16312,-17,-1,26,192,-106,289
1781608338.39,S01,SITTING,41,2,16269,0,19,-14,204,-93,300
1781608338.4,S01,SITTING,-61,22,16389,5,-10,18,198,-95,300
1781608338.41,S01,SITTING,10,-17,16453,0,-3,0,193,-93,294
1781608338.42,S01,SITTING,-97,8,16248,20,-35,-20,202,-100,301
1781608338.43,S01,SITTING,-66,-48,16449,11,26,-16,204,-102,300
1781608338.44,S01,SITTING,9,-10,16449,0,-16,0,197,-99,294
1781608338.45,S01,SITTING,36,30,16460,3,4,-6,203,-100,304
1781608338.46,S01,SITTING,8,7,16481,4,-1,-19,188,-103,304
1781608338.47,S01,SITTING,-5,-29,16560,6,-1,-25,193,-102,298
1781608338.48,S01,SITTING,-15,11,16355,-27,12,-12,206,-101,299
1781608338.49,S01,SITTING,-73,35,16392,-4,25,2,198,-105,303
1781608338.5,S01,SITTING,-35,-102,16350,-22,3,0,190,-96,298
1781608338.51,S01,SITTING,-23,57,16384,19,9,-7,196,-100,290
1781608338.52,S01,SITTING,52,-16,16506,0,4,3,195,-101,302
1781608338.53,S01,SITTING,17,21,16276,-2,15,15,199,-105,295
1781608338.54,S01,SITTING,-88,59,16315,13,-6,5,198,-105,298
1781608338.55,S01,SITTING,16,-68,16494,6,16,-1,200,-90,307
1781608338.56,S01,SITTING,-19,-35,16465,-16,16,13,199,-103,299
1781608338.57,S01,SITTING,-33,-14,16354,-1,16,-14,206,-96,300
1781608338.58,S01,SITTING,30,-39,16452,-5,-9,-3,202,-99,302
1781608338.59,S01,SITTING,51,86,16411,-26,-2,-3,202,-113,302
1781608338.6,S01,SITTING,46,-42,16504,-10,3,-18,205,-91,295
1781608338.61,S01,SITTING,-41,-27,16389,-2,-20,-6,198,-96,299
1781608338.62,S01,SITTING,-15,10,16466,-1,23,-31,193,-103,300
1781608338.63,S01,SITTING,16,-60,16595,-22,0,28,206,-100,301
1781608338.64,S01,SITTING,48,-19,16431,17,4,-14,200,-105,301
1781608338.65,S01,SITTING,-23,15,16387,-1,-8,23,200,-90,312
1781608338.66,S01,SITTING,-9,-16,16441,0,-19,0,196,-104,294
1781608338.67,S01,SITTING,-55,-4,16354,6,-9,8,196,-102,304
1781608338.68,S01,SITTING,-59,-26,16575,-11,3,-7,204,-103,305
1781608338.69,S01,SITTING,40,-75,16398,6,10,3,204,-99,302
1781608338.7,S01,SITTING,67,16,16362,-5,2,9,203,-93,296
1781608338.71,S01,SITTING,-3,87,16317,-13,5,9,203,-91,308
1781608338.72,S01,SITTING,50,0,16471,8,-5,11,202,-101,289
1781608338.73,S01,SITTING,18,11,16453,22,7,-5,200,-98,296
1781608338.74,S01,SITTING,-32,34,16344,10,22,-7,199,-99,305
1781608338.75,S01,SITTING,18,-63,16430,13,10,-23,206,-104,298
1781608338.76,S01,SITTING,76,85,16263,-7,12,7,198,-87,307
1781608338.77,S01,SITTING,-1,10,16398,-23,4,16,201,-93,292
1781608338.78,S01,SITTING,78,81,16420,22,-22,24,195,-99,294
1781608338.79,S01,SITTING,-130,-36,16520,30,-15,4,196,-92,297
1781608338.8,S01,SITTING,41,90,16322,23,6,-11,198,-93,302
1781608338.81,S01,SITTING,4,38,16281,-5,0,-25,195,-99,298
