timestamp,subject_id,activity_label,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1781609140.172,S01,STAIRS_DOWN,-92,299,15289,13,42,-1,202,-77,293
1781609140.182,S01,STAIRS_DOWN,90,342,15223,24,-11,0,192,-100,293
1781609140.192,S01,STAIRS_DOWN,194,313,15509,19,17,0,206,-102,312
1781609140.202,S01,STAIRS_DOWN,515,346,15902,-19,23,11,194,-104,316
1781609140.212,S01,STAIRS_DOWN,392,373,15903,17,25,-8,206,-96,291
1781609140.222,S01,STAIRS_DOWN,195,464,16292,4,28,-10,197,-96,293
1781609140.232,S01,STAIRS_DOWN,436,355,17064,25,35,14,184,-91,310
1781609140.242,S01,STAIRS_DOWN,207,235,17405,51,24,-5,191,-108,304
1781609140.252,S01,STAIRS_DOWN,529,474,17694,43,17,-15,196,-102,306
1781609140.262,S01,STAIRS_DOWN,341,289,18393,61,16,-5,212,-81,308
1781609140.272,S01,STAIRS_DOWN,377,351,18718,50,11,-3,208,-97,297
1781609140.282,S01,STAIRS_DOWN,530,387,19192,23,35,18,214,-101,302
1781609140.292,S01,STAIRS_DOWN,192,355,19748,4,8,11,214,-108,302
1781609140.302,S01,STAIRS_DOWN,146,425,19725,54,34,13,195,-95,292
1781609140.312,S01,STAIRS_DOWN,204,359,20050,49,17,9,198,-90,302
1781609140.322,S01,STAIRS_DOWN,352,226,20464,36,6,11,196,-92,311
1781609140.332,S01,STAIRS_DOWN,-7,487,20496,24,24,-8,193,-102,296
1781609140.342,S01,STAIRS_DOWN,-224,295,20750,41,-1,-2,183,-96,301
1781609140.352,S01,STAIRS_DOWN,-2,251,20449,51,21,-11,199,-84,301
1781609140.362,S01,STAIRS_DOWN,47,336,20182,65,11,-2,188,-90,297
1781609140.372,S01,STAIRS_DOWN,52,257,20436,55,-5,8,199,-107,306
1781609140.382,S01,STAIRS_DOWN,-224,255,19789,79,12,1,219,-122,293
1781609140.392,S01,STAIRS_DOWN,-298,427,19432,29,10,15,195,-97,311
1781609140.402,S01,STAIRS_DOWN,-193,162,18702,61,18,-13,201,-92,305
1781609140.412,S01,STAIRS_DOWN,-640,141,18363,43,13,6,208,-109,291
1781609140.422,S01,STAIRS_DOWN,-547,163,17965,51,2,-14,202,-100,315
1781609140.432,S01,STAIRS_DOWN,-562,231,17223,27,-29,1,202,-102,301
1781609140.442,S01,STAIRS_DOWN,-615,-18,17000,50,33,8,196,-99,293
1781609140.452,S01,STAIRS_DOWN,-813,-77,16364,31,-38,-2,197,-104,309
1781609140.462,S01,STAIRS_DOWN,-827,28,16011,9,2,6,191,-88,304
1781609140.472,S01,STAIRS_DOWN,-1207,-84,15613,16,-8,-11,207,-98,284
1781609140.482,S01,STAIRS_DOWN,-1061,5,15792,7,-39,-19,184,-107,295
1781609140.492,S01,STAIRS_DOWN,-997,70,15282,15,-22,6,208,-91,302
1781609140.502,S01,STAIRS_DOWN,-1234,-74,15014,-19,-22,20,187,-111,280
1781609140.512,S01,STAIRS_DOWN,-1168,-141,15370,-4,1,-11,208,-88,300
1781609140.522,S01,STAIRS_DOWN,-1175,-25,15116,-1,-36,14,196,-91,301
1781609140.532,S01,STAIRS_DOWN,-1316,27,15580,-13,-28,0,188,-87,289
1781609140.542,S01,STAIRS_DOWN,-1294,-221,15482,5,-66,-16,205,-101,302
1781609140.552,S01,STAIRS_DOWN,-1462,-13,15963,-9,6,-13,208,-104,300
1781609140.562,S01,STAIRS_DOWN,-1396,-32,16666,-28,-44,0,196,-99,289
1781609140.572,S01,STAIRS_DOWN,-1315,-37,17239,-28,-18,-4,206,-100,308
