timestamp,subject_id,activity_label,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1781608338.000,S01,STAIRS_DOWN,826,194,18971,20,50,-9,192,-77,281
1781608338.010,S01,STAIRS_DOWN,628,-104,18167,-17,18,-6,176,-94,299
1781608338.020,S01,STAIRS_DOWN,-639,38,16855,12,10,-5,201,-101,305
1781608338.030,S01,STAIRS_DOWN,464,219,19714,-22,-31,-1,209,-102,282
1781608338.040,S01,STAIRS_DOWN,-39,191,22941,23,12,-13,191,-80,307
1781608338.050,S01,STAIRS_DOWN,1039,-89,17584,-28,-6,-12,190,-108,302
1781608338.060,S01,STAIRS_DOWN,-3,90,15765,12,-7,-18,190,-116,292
1781608338.070,S01,STAIRS_DOWN,540,252,18481,-17,-30,-27,205,-100,302
1781608338.080,S01,STAIRS_DOWN,45,210,16450,-7,0,-5,206,-89,288
1781608338.090,S01,STAIRS_DOWN,114,442,22006,-18,3,7,203,-93,314
1781608338.100,S01,STAIRS_DOWN,676,420,20918,13,9,-8,198,-91,297
1781608338.110,S01,STAIRS_DOWN,-299,-173,15850,-9,26,25,173,-110,322
1781608338.120,S01,STAIRS_DOWN,-122,-399,15806,-9,-33,-15,195,-95,304
1781608338.130,S01,STAIRS_DOWN,-488,-148,13187,28,-8,9,192,-73,304
1781608338.140,S01,STAIRS_DOWN,590,322,18280,-8,-5,24,197,-110,320
1781608338.150,S01,STAIRS_DOWN,-469,-281,20545,26,17,14,195,-71,306
1781608338.160,S01,STAIRS_DOWN,556,90,19461,-5,-27,18,207,-99,303
1781608338.170,S01,STAIRS_DOWN,109,-552,19118,42,2,-8,209,-85,307
1781608338.180,S01,STAIRS_DOWN,-30,723,20125,33,0,0,186,-91,292
1781608338.190,S01,STAIRS_DOWN,-462,-7,14257,8,-7,24,210,-96,298
1781608338.200,S01,STAIRS_DOWN,-1893,186,17796,54,9,-35,195,-102,314
1781608338.210,S01,STAIRS_DOWN,1488,475,17380,-14,-3,-5,191,-119,313
1781608338.220,S01,STAIRS_DOWN,-238,-209,16523,14,-35,-1,207,-108,323
1781608338.230,S01,STAIRS_DOWN,176,209,20330,-18,0,-16,200,-112,303
1781608338.240,S01,STAIRS_DOWN,1399,-30,20369,19,27,11,193,-101,305
1781608338.250,S01,STAIRS_DOWN,-1138,-8,19179,53,-13,-5,185,-90,304
1781608338.260,S01,STAIRS_DOWN,-1471,-314,18093,2,-6,-26,198,-106,291
1781608338.270,S01,STAIRS_DOWN,468,-411,21713,-36,23,-6,188,-85,298
1781608338.280,S01,STAIRS_DOWN,200,-182,17070,-9,-12,1,189,-95,305
1781608338.290,S01,STAIRS_DOWN,924,-37,16217,-40,20,-7,209,-108,308
1781608338.300,S01,STAIRS_DOWN,-1,-67,18668,-24,-1,-10,204,-101,316
1781608338.310,S01,STAIRS_DOWN,304,-107,17386,16,-15,-5,199,-110,296
1781608338.320,S01,STAIRS_DOWN,1246,100,19525,35,16,-14,208,-109,293
1781608338.330,S01,STAIRS_DOWN,90,-14,15706,-15,16,-30,203,-104,304
1781608338.340,S01,STAIRS_DOWN,-921,49,15445,20,-37,28,233,-88,299
1781608338.350,S01,STAIRS_DOWN,-430,103,19445,8,-22,1,205,-115,297
1781608338.360,S01,STAIRS_DOWN,685,-63,17729,30,13,-1,196,-106,304
1781608338.370,S01,STAIRS_DOWN,-239,138,17519,9,27,-2,206,-98,311
1781608338.380,S01,STAIRS_DOWN,1138,-94,18019,25,6,8,196,-97,297
1781608338.390,S01,STAIRS_DOWN,-740,-107,17089,27,0,10,186,-103,302
1781608338.400,S01,STAIRS_DOWN,-3,282,17783,12,1,5,211,-102,277
1781608338.410,S01,STAIRS_DOWN,179,420,18342,28,20,2,192,-115,296
1781608338.420,S01,STAIRS_DOWN,157,75,18853,-27,-11,23,205,-103,330
1781608338.430,S01,STAIRS_DOWN,-231,241,17620,31,8,12,196,-119,301
1781608338.440,S01,STAIRS_DOWN,778,-339,20551,-13,24,-12,190,-92,316
1781608338.450,S01,STAIRS_DOWN,140,-67,15624,-37,2,4,206,-111,315
1781608338.460,S01,STAIRS_DOWN,-806,459,14888,29,-31,-29,201,-88,296
1781608338.470,S01,STAIRS_DOWN,-1384,140,16522,14,15,-27,207,-101,297
1781608338.480,S01,STAIRS_DOWN,-116,466,17980,0,-58,5,189,-98,306
1781608338.490,S01,STAIRS_DOWN,-383,82,18873,21,21,0,214,-87,303
1781608338.500,S01,STAIRS_DOWN,285,20,17149,-17,14,6,199,-92,285
1781608338.510,S01,STAIRS_DOWN,259,-4,18931,-60,3,-25,215,-102,306
1781608338.520,S01,STAIRS_DOWN,-716,-24,18574,-42,30,-1,154,-99,298
1781608338.530,S01,STAIRS_DOWN,-683,154,18339,-68,-22,-13,194,-126,299
1781608338.540,S01,STAIRS_DOWN,-82,-234,21081,-3,-39,3,189,-100,300
1781608338.550,S01,STAIRS_DOWN,713,-34,23078,16,0,1,175,-94,312
1781608338.560,S01,STAIRS_DOWN,-876,510,21658,2,-25,7,199,-99,298
1781608338.570,S01,STAIRS_DOWN,-813,-37,20361,20,3,0,199,-97,297
1781608338.580,S01,STAIRS_DOWN,-643,-273,18262,5,43,27,220,-110,304
1781608338.590,S01,STAIRS_DOWN,381,25,16602,-26,7,14,206,-93,302
1781608338.600,S01,STAIRS_DOWN,-162,351,16618,-15,-25,26,205,-111,296
1781608338.610,S01,STAIRS_DOWN,-54,582,21430,-1,-30,-4,212,-110,290
1781608338.620,S01,STAIRS_DOWN,-586,-201,19526,5,39,13,188,-95,296
1781608338.630,S01,STAIRS_DOWN,224,327,20612,13,53,-7,205,-123,309
1781608338.640,S01,STAIRS_DOWN,-303,200,20296,14,-5,-24,201,-100,293
1781608338.650,S01,STAIRS_DOWN,77,116,19048,14,-8,15,211,-91,277
1781608338.660,S01,STAIRS_DOWN,-208,-313,14303,55,5,-8,198,-103,303
1781608338.670,S01,STAIRS_DOWN,-509,66,18568,-26,28,0,184,-98,288
1781608338.680,S01,STAIRS_DOWN,-338,-161,16951,0,-13,7,165,-104,290
1781608338.690,S01,STAIRS_DOWN,-1504,174,16663,-25,17,-7,194,-107,287
1781608338.700,S01,STAIRS_DOWN,-1100,83,15640,30,-21,-17,207,-82,297
1781608338.710,S01,STAIRS_DOWN,289,-179,17324,52,51,12,192,-111,304
1781608338.720,S01,STAIRS_DOWN,-470,285,21700,-17,6,-8,186,-97,303
1781608338.730,S01,STAIRS_DOWN,-673,-171,20072,-28,48,-13,198,-88,315
1781608338.740,S01,STAIRS_DOWN,547,65,21264,-30,13,3,212,-103,267
1781608338.750,S01,STAIRS_DOWN,632,-18,23740,-3,45,-8,211,-108,283
1781608338.760,S01,STAIRS_DOWN,722,-54,19255,10,3,17,187,-102,326
1781608338.770,S01,STAIRS_DOWN,-396,-167,17773,36,8,-9,203,-84,307
1781608338.780,S01,STAIRS_DOWN,-337,-131,18408,-6,-4,15,203,-111,311
1781608338.790,S01,STAIRS_DOWN,94,592,17138,-5,-12,6,216,-112,306
1781608338.800,S01,STAIRS_DOWN,-864,-46,15893,-77,4,-5,214,-87,299
1781608338.810,S01,STAIRS_DOWN,44,218,14755,-5,4,19,195,-99,296
1781608338.820,S01,STAIRS_DOWN,382,-236,19529,0,-7,-27,222,-86,267
1781608338.830,S01,STAIRS_DOWN,694,0,17209,42,32,-21,247,-89,304
1781608338.840,S01,STAIRS_DOWN,-165,16,19897,21,-46,16,207,-106,295
1781608338.850,S01,STAIRS_DOWN,-818,309,14678,-14,33,-7,182,-108,290
1781608338.860,S01,STAIRS_DOWN,-486,139,19585,-36,-32,7,191,-124,301
1781608338.870,S01,STAIRS_DOWN,-492,300,21250,-48,-21,-19,194,-89,301
1781608338.880,S01,STAIRS_DOWN,-679,279,14430,52,3,31,208,-101,311
1781608338.890,S01,STAIRS_DOWN,1335,-41,20820,9,10,24,210,-130,283
1781608338.900,S01,STAIRS_DOWN,-401,69,17207,10,-39,13,202,-101,311
1781608338.910,S01,STAIRS_DOWN,-1440,272,15415,-31,-9,-9,199,-109,302
1781608338.920,S01,STAIRS_DOWN,-133,-148,18488,-40,-45,44,186,-100,277
1781608338.930,S01,STAIRS_DOWN,331,67,18221,26,-9,-9,194,-101,296
1781608338.940,S01,STAIRS_DOWN,313,-366,20989,8,11,-4,204,-87,318
1781608338.950,S01,STAIRS_DOWN,-130,-7,17150,-1,0,11,201,-106,293
1781608338.960,S01,STAIRS_DOWN,389,373,14388,-17,-45,-6,208,-101,280
1781608338.970,S01,STAIRS_DOWN,190,206,20081,11,-4,0,203,-97,298
1781608338.980,S01,STAIRS_DOWN,496,237,17407,-14,10,-19,201,-97,323
1781608338.990,S01,STAIRS_DOWN,-511,-170,11213,7,-9,-7,232,-80,298
1781608339.000,S01,STAIRS_DOWN,-421,-88,19322,13,31,9,221,-109,281
1781608339.010,S01,STAIRS_DOWN,-777,510,15505,8,10,-15,208,-115,279
1781608339.020,S01,STAIRS_DOWN,-285,297,14800,20,-24,7,209,-105,325
1781608339.030,S01,STAIRS_DOWN,-148,99,17170,-21,-33,-19,197,-89,306
1781608339.040,S01,STAIRS_DOWN,-108,437,16552,-16,-10,0,217,-100,290
1781608339.050,S01,STAIRS_DOWN,480,25,14298,-65,15,-23,191,-90,311
1781608339.060,S01,STAIRS_DOWN,329,201,15716,19,12,-13,188,-98,288
1781608339.070,S01,STAIRS_DOWN,-384,-14,21402,-19,-15,19,199,-116,291
1781608339.080,S01,STAIRS_DOWN,40,-37,14533,-26,48,-32,200,-79,297
1781608339.090,S01,STAIRS_DOWN,-154,-22,19041,9,-13,2,212,-99,272
1781608339.100,S01,STAIRS_DOWN,-443,386,19322,28,27,-12,216,-80,315
1781608339.110,S01,STAIRS_DOWN,936,-121,16028,21,-27,7,212,-85,321
1781608339.120,S01,STAIRS_DOWN,-542,-223,14886,-18,-38,0,204,-98,286
1781608339.130,S01,STAIRS_DOWN,-42,-59,18745,15,0,6,213,-106,300
1781608339.140,S01,STAIRS_DOWN,-211,-281,15656,-1,14,7,201,-82,294
1781608339.150,S01,STAIRS_DOWN,366,-37,18069,8,12,9,205,-101,324
1781608339.160,S01,STAIRS_DOWN,61,-190,16802,25,36,19,204,-89,319
1781608339.170,S01,STAIRS_DOWN,-258,-210,18990,4,14,-14,191,-114,282
1781608339.180,S01,STAIRS_DOWN,-852,47,18687,-14,62,-5,220,-83,315
1781608339.190,S01,STAIRS_DOWN,-375,-61,17260,-26,8,-18,204,-102,292
1781608339.200,S01,STAIRS_DOWN,542,-241,17385,43,31,-30,189,-92,308
1781608339.210,S01,STAIRS_DOWN,133,-392,17842,9,-10,-11,199,-108,290
1781608339.220,S01,STAIRS_DOWN,272,-101,16892,-13,24,-10,232,-105,333
1781608339.230,S01,STAIRS_DOWN,267,165,20411,-13,4,4,203,-105,293
1781608339.240,S01,STAIRS_DOWN,-782,237,15084,22,10,-11,206,-104,295
1781608339.250,S01,STAIRS_DOWN,-302,43,16418,101,-34,6,201,-94,296
1781608339.260,S01,STAIRS_DOWN,665,-312,18112,-13,-9,-27,196,-99,292
1781608339.270,S01,STAIRS_DOWN,1068,-407,13764,-28,17,10,179,-106,319
1781608339.280,S01,STAIRS_DOWN,-1353,-143,17803,-12,11,-6,194,-93,297
1781608339.290,S01,STAIRS_DOWN,113,324,20256,0,44,23,188,-109,280
1781608339.300,S01,STAIRS_DOWN,-413,151,15861,57,-19,15,218,-96,294
1781608339.310,S01,STAIRS_DOWN,1448,72,18598,0,2,21,204,-96,294
1781608339.320,S01,STAIRS_DOWN,-53,443,17923,-3,-60,4,214,-92,301
1781608339.330,S01,STAIRS_DOWN,-219,22,21363,-7,39,27,192,-95,303
1781608339.340,S01,STAIRS_DOWN,404,73,19081,-17,-4,-13,216,-117,295
1781608339.350,S01,STAIRS_DOWN,-8,14,19489,18,0,12,214,-87,295
1781608339.360,S01,STAIRS_DOWN,-155,-297,18196,-49,-45,-20,202,-110,332
1781608339.370,S01,STAIRS_DOWN,-497,107,14653,12,-3,-14,210,-100,291
