timestamp,subject_id,activity_label,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1781609078.027,S01,STAIRS_UP,1007,299,17589,13,42,-1,202,-77,293
1781609078.037,S01,STAIRS_UP,1190,342,17519,24,-11,0,192,-100,293
1781609078.047,S01,STAIRS_UP,1294,313,17792,20,17,0,206,-102,312
1781609078.057,S01,STAIRS_UP,1615,346,18163,-18,23,11,194,-104,316
1781609078.067,S01,STAIRS_UP,1492,373,18135,19,25,-8,206,-96,291
1781609078.077,S01,STAIRS_UP,1295,464,18489,6,28,-10,197,-96,293
1781609078.087,S01,STAIRS_UP,1536,355,19220,28,35,14,184,-91,310
1781609078.097,S01,STAIRS_UP,1307,235,19517,54,24,-5,191,-108,304
1781609078.107,S01,STAIRS_UP,1629,474,19759,46,17,-15,196,-102,306
1781609078.117,S01,STAIRS_UP,1441,289,20412,65,16,-5,212,-81,308
1781609078.127,S01,STAIRS_UP,1477,351,20690,54,11,-3,208,-97,297
1781609078.137,S01,STAIRS_UP,1630,387,21122,28,35,18,214,-101,302
1781609078.147,S01,STAIRS_UP,1292,355,21638,8,8,11,214,-108,302
1781609078.157,S01,STAIRS_UP,1246,425,21583,59,34,13,195,-95,292
1781609078.167,S01,STAIRS_UP,1304,359,21881,54,17,9,198,-90,302
1781609078.177,S01,STAIRS_UP,1452,226,22277,41,6,11,196,-92,311
1781609078.187,S01,STAIRS_UP,1092,487,22298,29,24,-8,193,-102,296
1781609078.197,S01,STAIRS_UP,875,295,22551,46,-1,-2,183,-96,301
1781609078.207,S01,STAIRS_UP,1097,251,22257,56,21,-11,199,-84,301
1781609078.217,S01,STAIRS_UP,1147,336,22006,70,11,-2,188,-90,297
1781609078.227,S01,STAIRS_UP,1152,257,22284,60,-5,8,199,-107,306
1781609078.237,S01,STAIRS_UP,875,255,21668,83,12,1,219,-122,293
1781609078.247,S01,STAIRS_UP,801,427,21348,33,10,15,195,-97,311
1781609078.257,S01,STAIRS_UP,906,162,20660,65,18,-13,201,-92,305
1781609078.267,S01,STAIRS_UP,459,141,20366,47,13,6,208,-109,291
1781609078.277,S01,STAIRS_UP,552,163,20016,54,2,-14,202,-100,315
1781609078.287,S01,STAIRS_UP,537,231,19320,30,-29,1,202,-102,301
1781609078.297,S01,STAIRS_UP,484,-18,19143,52,33,8,196,-99,293
1781609078.307,S01,STAIRS_UP,286,-77,18548,34,-38,-2,197,-104,309
1781609078.317,S01,STAIRS_UP,272,28,18232,11,2,6,191,-88,304
1781609078.327,S01,STAIRS_UP,-107,-84,17866,18,-8,-11,207,-98,284
1781609078.337,S01,STAIRS_UP,38,5,18069,8,-39,-19,184,-107,295
1781609078.347,S01,STAIRS_UP,102,70,17574,16,-22,6,208,-91,302
1781609078.357,S01,STAIRS_UP,-134,-74,17314,-19,-22,20,187,-111,280
1781609078.367,S01,STAIRS_UP,-68,-141,17668,-4,1,-11,208,-88,300
1781609078.377,S01,STAIRS_UP,-75,-25,17404,-2,-36,14,196,-91,301
1781609078.387,S01,STAIRS_UP,-216,27,17849,-14,-28,0,188,-87,289
1781609078.397,S01,STAIRS_UP,-194,-221,17724,3,-66,-16,205,-101,302
