timestamp,subject_id,activity_label,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1781608938.000,S01,STAIRS_UP,349,513,19663,10,59,7,194,-100,306
1781608938.010,S01,STAIRS_UP,65,171,19219,27,34,18,203,-102,304
1781608938.020,S01,STAIRS_UP,-41,-1,20971,26,0,21,222,-87,285
1781608938.030,S01,STAIRS_UP,423,275,17975,-15,16,-2,200,-109,299
1781608938.040,S01,STAIRS_UP,-119,-159,20753,-28,56,-4,210,-81,301
1781608938.050,S01,STAIRS_UP,-366,123,19176,-48,37,10,195,-100,292
1781608938.060,S01,STAIRS_UP,988,187,18884,-49,-2,-32,185,-91,305
1781608938.070,S01,STAIRS_UP,621,59,19666,1,-39,-18,195,-123,321
1781608938.080,S01,STAIRS_UP,481,77,21117,27,0,11,214,-93,301
1781608938.090,S01,STAIRS_UP,961,-139,19569,-8,0,16,212,-82,299
1781608938.100,S01,STAIRS_UP,348,-322,20703,36,14,-19,210,-83,298
1781608938.110,S01,STAIRS_UP,914,-128,19011,-19,-2,16,201,-115,291
1781608938.120,S01,STAIRS_UP,613,26,20324,18,32,0,203,-75,306
1781608938.130,S01,STAIRS_UP,462,-238,20939,41,-14,0,196,-115,312
1781608938.140,S01,STAIRS_UP,225,-193,19394,8,-19,-16,209,-106,294
1781608938.150,S01,STAIRS_UP,93,93,19696,16,58,-6,191,-89,283
1781608938.160,S01,STAIRS_UP,-70,-153,22688,12,21,2,192,-116,301
1781608938.170,S01,STAIRS_UP,-369,-533,20267,-52,17,-34,206,-91,321
1781608938.180,S01,STAIRS_UP,784,359,20517,5,1,-4,217,-97,301
1781608938.190,S01,STAIRS_UP,387,-5,22030,-56,72,-14,191,-98,298
1781608938.200,S01,STAIRS_UP,849,93,22606,77,-8,24,194,-89,281
1781608938.210,S01,STAIRS_UP,1248,-343,19456,-9,9,24,181,-122,316
1781608938.220,S01,STAIRS_UP,1291,-352,21527,-17,24,20,195,-89,279
1781608938.230,S01,STAIRS_UP,679,-106,20033,6,-18,-12,205,-87,311
1781608938.240,S01,STAIRS_UP,261,-143,20061,40,12,-24,192,-109,291
1781608938.250,S01,STAIRS_UP,848,-265,21511,26,4,7,204,-88,294
1781608938.260,S01,STAIRS_UP,1059,44,14826,19,-22,-10,193,-79,283
1781608938.270,S01,STAIRS_UP,-1048,192,18527,68,-56,-7,209,-90,302
1781608938.280,S01,STAIRS_UP,1387,-302,22140,-11,54,-35,218,-90,299
1781608938.290,S01,STAIRS_UP,-816,-157,20597,-11,15,17,217,-98,291
1781608938.300,S01,STAIRS_UP,1516,-419,20236,11,7,-11,195,-117,320
1781608938.310,S01,STAIRS_UP,1592,-31,19391,42,-42,-29,156,-95,292
1781608938.320,S01,STAIRS_UP,1053,-434,19430,65,37,-12,181,-112,301
1781608938.330,S01,STAIRS_UP,247,-6,20897,43,-7,17,176,-109,280
1781608938.340,S01,STAIRS_UP,879,250,17758,-26,-29,9,186,-118,321
1781608938.350,S01,STAIRS_UP,223,-680,18272,26,0,-32,199,-93,281
1781608938.360,S01,STAIRS_UP,677,-34,17103,35,15,-7,212,-104,291
1781608938.370,S01,STAIRS_UP,1909,-225,21389,-24,-14,13,195,-120,285
1781608938.380,S01,STAIRS_UP,587,233,20181,-53,-43,-35,202,-120,296
1781608938.390,S01,STAIRS_UP,9,17,20128,-29,34,10,197,-81,309
1781608938.400,S01,STAIRS_UP,1295,-278,20758,82,-26,-6,185,-93,287
1781608938.410,S01,STAIRS_UP,482,45,22321,9,-18,24,186,-99,300
1781608938.420,S01,STAIRS_UP,815,-416,18724,28,-19,-29,186,-101,298
1781608938.430,S01,STAIRS_UP,1207,317,16707,-15,-14,1,197,-104,318
1781608938.440,S01,STAIRS_UP,-241,508,19624,20,61,-3,220,-93,299
1781608938.450,S01,STAIRS_UP,1403,514,18591,4,-17,12,192,-118,294
1781608938.460,S01,STAIRS_UP,307,-259,18837,38,29,-18,205,-101,288
1781608938.470,S01,STAIRS_UP,1093,-379,21406,2,0,28,194,-106,291
1781608938.480,S01,STAIRS_UP,1000,-451,18794,49,20,-17,198,-82,315
1781608938.490,S01,STAIRS_UP,464,-235,19883,18,6,17,186,-90,314
1781608938.500,S01,STAIRS_UP,1065,-129,21141,-43,41,3,204,-119,301
1781608938.510,S01,STAIRS_UP,978,85,19370,46,-22,-6,202,-86,335
1781608938.520,S01,STAIRS_UP,1575,12,18880,-21,-13,-14,190,-93,302
1781608938.530,S01,STAIRS_UP,-42,68,17517,-19,44,5,196,-87,298
1781608938.540,S01,STAIRS_UP,-112,477,20061,22,6,-1,189,-103,322
1781608938.550,S01,STAIRS_UP,1540,97,18680,-12,39,-38,184,-104,309
1781608938.560,S01,STAIRS_UP,899,-121,17136,25,48,-22,203,-95,293
1781608938.570,S01,STAIRS_UP,-32,-500,21906,-1,64,-17,209,-101,300
1781608938.580,S01,STAIRS_UP,-341,115,18414,10,-53,-28,206,-99,295
1781608938.590,S01,STAIRS_UP,824,-118,19742,124,10,12,212,-110,294
1781608938.600,S01,STAIRS_UP,1909,-328,24123,69,1,13,172,-99,326
1781608938.610,S01,STAIRS_UP,1,-331,17668,3,18,-6,203,-76,282
1781608938.620,S01,STAIRS_UP,569,-31,19658,63,12,-5,193,-112,298
1781608938.630,S01,STAIRS_UP,-323,179,17812,8,20,-16,204,-115,312
1781608938.640,S01,STAIRS_UP,434,58,19677,-26,27,-12,212,-110,283
1781608938.650,S01,STAIRS_UP,-136,231,16925,18,9,-17,219,-101,285
1781608938.660,S01,STAIRS_UP,-178,-119,18206,25,49,-11,201,-117,302
1781608938.670,S01,STAIRS_UP,900,-271,21667,69,47,-28,199,-102,304
1781608938.680,S01,STAIRS_UP,555,15,17883,8,-19,-4,205,-107,288
1781608938.690,S01,STAIRS_UP,-342,-115,18716,15,-10,-29,213,-100,301
1781608938.700,S01,STAIRS_UP,1269,-12,18011,-7,-70,-3,204,-107,296
1781608938.710,S01,STAIRS_UP,721,-150,18082,11,-13,12,219,-101,302
1781608938.720,S01,STAIRS_UP,292,-1,18359,-15,50,18,183,-103,324
1781608938.730,S01,STAIRS_UP,661,145,17457,29,16,-15,192,-98,305
1781608938.740,S01,STAIRS_UP,172,-108,21044,-19,-5,10,200,-103,299
1781608938.750,S01,STAIRS_UP,1237,86,17334,37,16,10,200,-85,300
1781608938.760,S01,STAIRS_UP,-392,182,17561,14,41,-25,202,-108,290
1781608938.770,S01,STAIRS_UP,446,-25,20331,18,28,-4,195,-117,295
1781608938.780,S01,STAIRS_UP,817,-500,21286,-13,31,-4,226,-94,271
1781608938.790,S01,STAIRS_UP,10,510,22319,40,-31,10,204,-88,272
1781608938.800,S01,STAIRS_UP,140,348,20475,10,-35,3,181,-113,296
1781608938.810,S01,STAIRS_UP,508,-629,20093,18,-13,-8,199,-92,306
1781608938.820,S01,STAIRS_UP,1057,-75,19014,-22,20,-1,198,-121,289
1781608938.830,S01,STAIRS_UP,948,90,18860,18,-40,-13,199,-89,308
1781608938.840,S01,STAIRS_UP,116,529,20961,9,5,-9,200,-110,307
1781608938.850,S01,STAIRS_UP,-180,-56,24922,64,-20,24,212,-107,303
1781608938.860,S01,STAIRS_UP,1119,339,21323,-80,-8,-2,199,-110,302
1781608938.870,S01,STAIRS_UP,1597,125,18987,47,29,-11,201,-100,303
1781608938.880,S01,STAIRS_UP,1761,-433,21672,49,-17,10,198,-86,296
1781608938.890,S01,STAIRS_UP,104,242,18199,17,3,-11,187,-86,293
1781608938.900,S01,STAIRS_UP,47,351,22435,42,31,-5,187,-81,300
1781608938.910,S01,STAIRS_UP,922,-187,17311,-2,-3,0,198,-99,308
1781608938.920,S01,STAIRS_UP,493,162,17933,-39,7,-25,180,-100,301
1781608938.930,S01,STAIRS_UP,997,142,18389,-36,-47,17,188,-116,292
1781608938.940,S01,STAIRS_UP,348,-67,19742,-17,84,32,189,-89,271
1781608938.950,S01,STAIRS_UP,-45,85,19249,39,22,-4,193,-118,315
1781608938.960,S01,STAIRS_UP,159,7,20165,-1,36,13,210,-80,323
1781608938.970,S01,STAIRS_UP,675,0,17755,9,62,0,209,-91,313
1781608938.980,S01,STAIRS_UP,1773,-345,19260,-46,-5,10,181,-91,297
1781608938.990,S01,STAIRS_UP,-106,152,18290,22,-9,15,180,-109,300
1781608939.000,S01,STAIRS_UP,107,-49,21550,16,53,-3,188,-98,286
1781608939.010,S01,STAIRS_UP,1824,-63,19788,22,-18,11,187,-101,297
