timestamp,subject_id,activity_label,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1781608697.996,S01,STANDING,29,-66,16283,9,14,-1,201,-84,295
1781608698.006,S01,STANDING,-6,-2,16327,12,-22,0,195,-100,295
1781608698.016,S01,STANDING,42,24,16299,6,-3,0,204,-101,308
1781608698.026,S01,STANDING,97,163,16334,-23,0,9,196,-103,311
1781608698.036,S01,STANDING,-6,84,16364,-1,0,-7,204,-97,294
1781608698.046,S01,STANDING,-4,-28,16459,-13,2,-8,198,-97,295
1781608698.056,S01,STANDING,106,81,16355,-2,7,12,189,-94,306
1781608698.066,S01,STANDING,59,-39,16241,12,0,-4,194,-105,303
1781608698.076,S01,STANDING,-13,119,16486,4,-4,-12,197,-101,304
1781608698.086,S01,STANDING,49,26,16308,14,-4,-4,208,-87,305
1781608698.096,S01,STANDING,-8,50,16378,4,-6,-3,205,-98,298
1781608698.106,S01,STANDING,-7,136,16424,-14,9,15,209,-101,301
1781608698.116,S01,STANDING,37,-19,16401,-29,-7,9,209,-105,301
1781608698.126,S01,STANDING,-90,-25,16482,2,10,11,196,-96,294
1781608698.136,S01,STANDING,-77,24,16427,-1,0,8,198,-93,301
1781608698.146,S01,STANDING,-5,122,16306,-10,-5,9,197,-94,307
1781608698.156,S01,STANDING,-30,-30,16580,-19,8,-6,195,-101,297
1781608698.166,S01,STANDING,50,-108,16401,-7,-8,-1,188,-97,300
1781608698.176,S01,STANDING,-20,35,16370,-1,8,-9,199,-89,301
1781608698.186,S01,STANDING,-49,95,16470,9,3,-2,192,-93,298
1781608698.196,S01,STANDING,125,135,16406,3,-6,6,199,-104,304
1781608698.206,S01,STANDING,25,36,16419,20,7,1,212,-115,295
1781608698.216,S01,STANDING,45,40,16608,-11,7,13,196,-98,307
1781608698.226,S01,STANDING,-42,134,16359,11,14,-11,201,-95,303
1781608698.236,S01,STANDING,11,-45,16355,2,12,5,205,-106,294
1781608698.246,S01,STANDING,53,43,16394,9,6,-12,201,-100,310
1781608698.256,S01,STANDING,-20,79,16480,-3,-12,0,201,-101,301
1781608698.266,S01,STANDING,72,95,16248,14,30,7,197,-99,295
1781608698.276,S01,STANDING,15,38,16207,5,-15,-2,198,-103,306
1781608698.286,S01,STANDING,35,71,16331,-6,12,5,194,-92,302
1781608698.296,S01,STANDING,19,-78,16236,1,6,-9,205,-99,289
1781608698.306,S01,STANDING,168,31,16345,0,-12,-16,189,-105,296
1781608698.316,S01,STANDING,57,99,16429,7,0,5,205,-94,301
1781608698.326,S01,STANDING,-3,13,16303,-12,0,17,191,-107,287
1781608698.336,S01,STANDING,111,76,16255,1,16,-9,205,-92,300
1781608698.346,S01,STANDING,-9,100,16390,6,-7,12,197,-94,300
1781608698.356,S01,STANDING,78,53,16461,2,-1,0,192,-91,292
1781608698.366,S01,STANDING,-50,85,16231,18,-26,-13,203,-100,301
1781608698.376,S01,STANDING,-10,17,16457,11,22,-11,205,-102,300
1781608698.386,S01,STANDING,82,63,16457,2,-11,0,197,-99,292
1781608698.396,S01,STANDING,116,113,16469,5,5,-4,204,-100,305
1781608698.406,S01,STANDING,84,86,16493,6,0,-13,186,-103,305
1781608698.416,S01,STANDING,68,42,16582,7,0,-16,192,-103,298
1781608698.426,S01,STANDING,59,92,16351,-19,11,-8,207,-102,298
1781608698.436,S01,STANDING,-9,122,16393,0,21,1,198,-107,304
1781608698.446,S01,STANDING,37,-43,16346,-15,4,0,188,-95,298
1781608698.456,S01,STANDING,54,149,16384,18,9,-5,195,-100,288
1781608698.466,S01,STANDING,146,60,16521,2,5,2,194,-101,302
1781608698.476,S01,STANDING,105,107,16262,0,13,10,199,-106,295
1781608698.486,S01,STANDING,-19,153,16306,13,-3,3,197,-106,297
1781608698.496,S01,STANDING,107,0,16507,8,14,-1,201,-88,308
1781608698.506,S01,STANDING,66,40,16475,-10,15,9,199,-103,299
1781608698.516,S01,STANDING,50,66,16351,2,14,-9,208,-96,300
1781608698.526,S01,STANDING,129,37,16460,0,-6,-2,202,-99,303
1781608698.536,S01,STANDING,156,188,16414,-17,0,-2,202,-116,303
1781608698.546,S01,STANDING,151,33,16519,-5,4,-12,206,-89,294
1781608698.556,S01,STANDING,46,52,16390,1,-14,-4,197,-95,299
1781608698.566,S01,STANDING,79,98,16476,1,21,-20,192,-104,300
1781608698.576,S01,STANDING,119,14,16621,-14,1,19,207,-100,301
1781608698.586,S01,STANDING,159,63,16437,17,5,-9,200,-106,301
1781608698.596,S01,STANDING,73,106,16388,2,-4,15,200,-89,315
1781608698.606,S01,STANDING,92,67,16449,3,-13,0,196,-105,292
1781608698.616,S01,STANDING,39,82,16351,8,-5,5,196,-103,305
1781608698.626,S01,STANDING,34,57,16598,-5,4,-4,205,-104,307
1781608698.636,S01,STANDING,156,-1,16400,9,10,2,205,-99,302
1781608698.646,S01,STANDING,190,108,16359,0,4,6,204,-91,296
1781608698.656,S01,STANDING,106,195,16308,-7,6,6,204,-89,309
1781608698.666,S01,STANDING,172,91,16482,10,-1,7,203,-102,286
1781608698.676,S01,STANDING,134,104,16462,21,8,-3,200,-97,295
1781608698.686,S01,STANDING,75,132,16339,12,20,-4,198,-99,307
1781608698.696,S01,STANDING,137,15,16435,14,10,-15,207,-105,297
1781608698.706,S01,STANDING,209,194,16248,-2,12,5,197,-85,309
1781608698.716,S01,STANDING,115,104,16400,-15,6,10,202,-91,290
1781608698.726,S01,STANDING,213,190,16424,21,-15,16,195,-98,293
1781608698.736,S01,STANDING,-36,49,16537,28,-9,3,196,-90,296
1781608698.746,S01,STANDING,170,202,16314,22,8,-7,198,-92,302
1781608698.756,S01,STANDING,127,140,16268,0,2,-16,195,-99,298
1781608698.766,S01,STANDING,105,127,16303,-9,7,10,204,-98,297
1781608698.776,S01,STANDING,130,108,16263,-8,22,-17,191,-90,308
1781608698.786,S01,STANDING,6,79,16504,-16,11,-3,200,-105,309
1781608698.796,S01,STANDING,113,167,16523,2,17,-2,200,-89,297
1781608698.806,S01,STANDING,149,103,16412,23,3,0,189,-101,289
1781608698.816,S01,STANDING,217,-22,16493,2,-6,0,197,-90,287
1781608698.826,S01,STANDING,98,28,16396,7,2,1,201,-100,301
1781608698.836,S01,STANDING,82,84,16375,20,-6,-24,202,-97,303
1781608698.846,S01,STANDING,101,114,16354,0,21,0,198,-100,300
1781608698.856,S01,STANDING,187,93,16356,28,12,-22,204,-103,299
1781608698.866,S01,STANDING,152,170,16244,28,9,7,199,-101,295
1781608698.876,S01,STANDING,102,-19,16407,2,17,-5,200,-91,303
1781608698.886,S01,STANDING,165,105,16380,-2,-21,-21,201,-113,310
1781608698.896,S01,STANDING,141,-11,16451,12,10,-8,205,-107,286
1781608698.906,S01,STANDING,194,143,16392,0,-12,-5,195,-104,299
1781608698.916,S01,STANDING,95,92,16369,-9,2,11,197,-106,294
1781608698.926,S01,STANDING,118,123,16305,19,0,1,195,-90,291
