timestamp,subject_id,activity_label,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1781608638.000,S01,STANDING,68,96,16389,-1,10,-1,205,-79,318
1781608638.010,S01,STANDING,-14,53,16346,8,-4,-9,181,-103,305
1781608638.020,S01,STANDING,-110,122,16303,-8,-4,-16,182,-84,304
1781608638.030,S01,STANDING,-14,71,16272,1,13,-21,201,-83,302
1781608638.040,S01,STANDING,-77,-80,16159,-9,9,-7,207,-100,296
1781608638.050,S01,STANDING,56,12,16547,0,19,-6,208,-101,296
1781608638.060,S01,STANDING,41,37,16409,-5,10,-11,210,-85,291
1781608638.070,S01,STANDING,83,109,16320,-7,30,-6,204,-98,307
1781608638.080,S01,STANDING,60,-46,16331,11,0,-6,187,-107,294
1781608638.090,S01,STANDING,48,31,16374,-4,0,0,216,-98,300
1781608638.100,S01,STANDING,138,124,16378,-14,-4,-6,200,-90,298
1781608638.110,S01,STANDING,26,121,16173,-5,-16,14,204,-88,286
1781608638.120,S01,STANDING,24,18,16373,-9,-1,4,194,-88,296
1781608638.130,S01,STANDING,70,110,16493,12,11,1,204,-86,309
1781608638.140,S01,STANDING,34,19,16588,0,6,4,213,-70,296
1781608638.150,S01,STANDING,50,-5,16420,5,5,0,193,-87,303
1781608638.160,S01,STANDING,98,42,16381,2,2,-1,190,-103,300
1781608638.170,S01,STANDING,30,93,16188,0,6,-4,187,-108,294
1781608638.180,S01,STANDING,128,100,16359,-6,-9,-12,196,-101,316
1781608638.190,S01,STANDING,-55,37,16356,-10,-14,2,180,-117,293
1781608638.200,S01,STANDING,85,69,16140,-4,-6,-10,212,-85,311
1781608638.210,S01,STANDING,103,67,16423,-7,3,0,179,-108,308
1781608638.220,S01,STANDING,-84,78,16369,9,-10,-13,205,-94,307
1781608638.230,S01,STANDING,95,79,16282,-7,-3,1,206,-85,299
1781608638.240,S01,STANDING,33,3,16251,0,8,-13,183,-107,286
1781608638.250,S01,STANDING,58,145,16386,12,-7,1,208,-104,308
1781608638.260,S01,STANDING,170,131,16325,-12,0,2,201,-87,317
1781608638.270,S01,STANDING,23,56,16194,11,14,-4,187,-99,313
1781608638.280,S01,STANDING,30,-36,16191,-2,22,15,193,-98,299
1781608638.290,S01,STANDING,59,-31,16249,-11,-1,-5,214,-103,309
1781608638.300,S01,STANDING,46,109,16267,-15,-7,1,194,-95,316
1781608638.310,S01,STANDING,-21,17,16309,-11,-17,3,198,-93,292
1781608638.320,S01,STANDING,56,41,16394,7,-16,-1,204,-92,307
1781608638.330,S01,STANDING,85,42,16352,-30,4,-7,211,-115,297
1781608638.340,S01,STANDING,-59,59,16515,-8,0,10,213,-116,313
1781608638.350,S01,STANDING,-10,-59,16338,-12,13,-4,201,-77,299
1781608638.360,S01,STANDING,128,9,16381,-15,11,6,185,-108,302
1781608638.370,S01,STANDING,80,15,16308,-7,-4,0,200,-108,290
1781608638.380,S01,STANDING,-34,79,16207,13,0,3,203,-118,288
1781608638.390,S01,STANDING,91,5,16466,11,-8,12,193,-115,283
1781608638.400,S01,STANDING,72,94,16354,-10,5,2,192,-92,302
1781608638.410,S01,STANDING,77,-53,16343,6,27,-8,212,-86,287
1781608638.420,S01,STANDING,-12,48,16441,-1,3,-7,218,-91,308
1781608638.430,S01,STANDING,39,103,16349,4,-17,-8,210,-83,318
1781608638.440,S01,STANDING,80,84,16540,7,11,11,198,-94,326
1781608638.450,S01,STANDING,94,79,16490,2,10,5,202,-109,294
1781608638.460,S01,STANDING,53,-59,16496,-25,11,-1,187,-113,309
1781608638.470,S01,STANDING,3,114,16344,11,-4,1,196,-92,311
1781608638.480,S01,STANDING,31,-75,16411,13,27,0,197,-106,309
1781608638.490,S01,STANDING,-5,54,16263,5,-2,13,189,-105,309
1781608638.500,S01,STANDING,13,-18,16451,26,-12,-15,195,-113,304
1781608638.510,S01,STANDING,24,20,16365,12,0,-13,202,-93,291
1781608638.520,S01,STANDING,-39,28,16511,8,13,12,200,-93,265
1781608638.530,S01,STANDING,82,11,16369,-10,2,-1,182,-103,300
1781608638.540,S01,STANDING,68,26,16335,-9,13,-4,191,-107,306
1781608638.550,S01,STANDING,4,87,16260,36,17,0,189,-106,299
1781608638.560,S01,STANDING,13,57,16372,24,-6,-13,200,-101,283
1781608638.570,S01,STANDING,137,133,16353,-30,2,-5,202,-94,303
1781608638.580,S01,STANDING,-7,-7,16473,-4,-2,7,200,-100,304
1781608638.590,S01,STANDING,16,56,16286,7,1,10,207,-98,305
1781608638.600,S01,STANDING,170,7,16335,1,4,0,204,-93,299
