timestamp,subject_id,activity_label,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1781608850.285,S01,WALKING,374,310,16458,11,34,-1,202,-79,294
1781608850.295,S01,WALKING,546,348,16426,19,-9,0,193,-100,294
1781608850.305,S01,WALKING,647,321,16728,14,14,0,205,-102,311
1781608850.315,S01,WALKING,923,349,17154,-18,19,9,195,-104,314
1781608850.325,S01,WALKING,823,370,17277,12,20,-7,205,-96,292
1781608850.335,S01,WALKING,656,447,17731,0,22,-8,197,-96,294
1781608850.345,S01,WALKING,848,346,18496,17,28,12,186,-92,309
1781608850.355,S01,WALKING,641,235,18875,37,18,-4,192,-107,304
1781608850.365,S01,WALKING,888,441,19166,29,12,-12,196,-102,305
1781608850.375,S01,WALKING,705,270,19741,44,10,-4,210,-83,307
1781608850.385,S01,WALKING,703,318,19933,33,5,-3,207,-98,298
1781608850.395,S01,WALKING,794,343,20174,9,24,15,212,-101,302
1781608850.405,S01,WALKING,471,307,20404,-7,1,9,213,-107,302
1781608850.415,S01,WALKING,389,361,20080,32,21,11,195,-95,293
1781608850.425,S01,WALKING,390,293,19983,26,6,8,198,-91,302
1781608850.435,S01,WALKING,466,166,19916,13,-3,9,196,-93,309
1781608850.445,S01,WALKING,118,388,19504,1,10,-6,194,-102,297
1781608850.455,S01,WALKING,-109,208,19280,14,-11,-1,185,-97,301
1781608850.465,S01,WALKING,29,158,18619,20,6,-9,199,-86,301
1781608850.475,S01,WALKING,29,224,18043,30,-2,-2,189,-91,297
1781608850.485,S01,WALKING,-5,143,17982,20,-17,6,199,-106,305
1781608850.495,S01,WALKING,-270,131,17275,38,-2,1,216,-120,294
1781608850.505,S01,WALKING,-359,274,16933,-4,-4,13,195,-97,310
1781608850.515,S01,WALKING,-292,27,16415,20,3,-11,201,-93,305
1781608850.525,S01,WALKING,-677,0,16364,4,-1,5,207,-108,292
1781608850.535,S01,WALKING,-605,9,16400,10,-9,-12,202,-100,313
1781608850.545,S01,WALKING,-613,60,16275,-10,-35,0,202,-102,301
1781608850.555,S01,WALKING,-644,-170,16689,8,17,7,197,-99,294
1781608850.565,S01,WALKING,-785,-232,16839,-6,-40,-2,198,-104,308
1781608850.575,S01,WALKING,-765,-146,17272,-24,-5,5,192,-89,303
1781608850.585,S01,WALKING,-1039,-254,17680,-17,-13,-9,206,-98,285
1781608850.595,S01,WALKING,-865,-181,18541,-24,-37,-16,186,-107,295
1781608850.605,S01,WALKING,-750,-130,18762,-15,-20,5,207,-92,302
1781608850.615,S01,WALKING,-878,-264,19081,-43,-18,17,188,-110,282
1781608850.625,S01,WALKING,-746,-328,19786,-27,3,-9,207,-89,300
1781608850.635,S01,WALKING,-667,-229,19822,-22,-25,12,197,-92,301
1781608850.645,S01,WALKING,-695,-186,20277,-28,-16,0,190,-88,290
1781608850.655,S01,WALKING,-582,-409,20075,-9,-46,-13,204,-101,302
1781608850.665,S01,WALKING,-624,-226,20168,-18,17,-11,207,-103,300
1781608850.675,S01,WALKING,-469,-243,20270,-29,-22,0,196,-99,290
1781608850.685,S01,WALKING,-300,-247,20108,-25,0,-4,205,-100,307
1781608850.695,S01,WALKING,-253,-240,19679,-22,-3,-13,181,-105,306
1781608850.705,S01,WALKING,-231,-174,19211,-19,0,-16,189,-104,297
1781608850.715,S01,WALKING,-51,-390,18706,-50,15,-8,210,-102,298
1781608850.725,S01,WALKING,98,-363,18029,-25,30,1,198,-109,305
1781608850.735,S01,WALKING,-78,-413,17650,-39,11,0,185,-94,298
1781608850.745,S01,WALKING,340,-387,17236,4,20,-5,194,-100,284
1781608850.755,S01,WALKING,285,-270,17079,-11,17,2,192,-102,303
1781608850.765,S01,WALKING,451,-504,16679,-10,29,10,198,-108,293
1781608850.775,S01,WALKING,611,-468,16180,9,9,3,197,-109,296
1781608850.785,S01,WALKING,429,-289,16432,6,33,-1,201,-84,311
1781608850.795,S01,WALKING,562,-317,16391,-13,35,9,199,-105,298
1781608850.805,S01,WALKING,660,-425,16534,6,35,-9,210,-95,300
1781608850.815,S01,WALKING,656,-324,17023,6,9,-2,203,-98,304
1781608850.825,S01,WALKING,942,-360,17474,-11,17,-2,203,-122,304
1781608850.835,S01,WALKING,704,-260,17914,7,23,-12,209,-85,292
1781608850.845,S01,WALKING,744,-365,18141,17,-1,-4,196,-94,299
1781608850.855,S01,WALKING,816,-279,18721,21,42,-20,189,-106,300
1781608850.865,S01,WALKING,660,-138,19294,3,17,19,209,-100,302
1781608850.875,S01,WALKING,712,-289,19812,44,20,-9,201,-109,302
1781608850.885,S01,WALKING,743,-319,19936,27,6,15,201,-85,320
1781608850.895,S01,WALKING,627,-250,20219,30,-6,0,194,-107,290
1781608850.905,S01,WALKING,589,-320,20203,35,1,5,195,-104,307
1781608850.915,S01,WALKING,474,-82,20187,18,12,-4,206,-105,309
1781608850.925,S01,WALKING,296,-240,20361,36,16,2,207,-99,303
1781608850.935,S01,WALKING,393,-256,20199,23,6,6,206,-89,294
1781608850.945,S01,WALKING,444,-280,19639,13,6,6,206,-85,313
1781608850.955,S01,WALKING,174,-104,19375,33,-5,7,204,-103,282
1781608850.965,S01,WALKING,95,-100,18801,45,4,-3,201,-96,294
1781608850.975,S01,WALKING,41,-186,18150,31,16,-4,198,-99,309
1781608850.985,S01,WALKING,-254,-76,17809,31,2,-15,209,-107,297
1781608850.995,S01,WALKING,-55,-219,17533,6,1,5,197,-80,312
1781608851.005,S01,WALKING,-299,-59,16912,-13,-8,10,202,-89,287
1781608851.015,S01,WALKING,-246,-13,16860,29,-36,16,193,-98,291
1781608851.025,S01,WALKING,-565,112,16050,34,-31,3,194,-87,295
1781608851.035,S01,WALKING,-385,-61,16507,23,-10,-7,198,-90,303
1781608851.045,S01,WALKING,-556,-76,16463,-8,-18,-16,193,-99,298
1781608851.055,S01,WALKING,-634,-20,16592,-24,-12,10,206,-97,296
1781608851.065,S01,WALKING,-711,-31,16948,-27,5,-17,189,-87,311
1781608851.075,S01,WALKING,-793,207,17025,-39,-9,-3,200,-107,312
1781608851.085,S01,WALKING,-670,248,17745,-19,-1,-2,201,-86,296
1781608851.095,S01,WALKING,-785,173,18325,3,-18,0,185,-101,286
1781608851.105,S01,WALKING,-992,268,18993,-25,-30,0,196,-87,282
1781608851.115,S01,WALKING,-891,204,19170,-20,-18,1,202,-100,301
1781608851.125,S01,WALKING,-770,207,19548,-6,-28,-24,203,-97,305
1781608851.135,S01,WALKING,-680,209,19935,-34,8,0,198,-100,300
1781608851.145,S01,WALKING,-665,230,20386,1,-1,-22,205,-104,299
1781608851.155,S01,WALKING,-476,150,20419,0,-3,7,199,-102,293
1781608851.165,S01,WALKING,-721,313,20286,-31,9,-5,200,-88,305
