timestamp,subject_id,activity_label,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1781609838.000,S02,RUNNING,600,466,20473,10,-47,-1,196,-87,307
1781609838.010,S02,RUNNING,749,-926,15960,23,27,11,213,-96,292
1781609838.020,S02,RUNNING,-217,-591,21668,3,35,10,198,-93,305
1781609838.030,S02,RUNNING,1142,-953,20654,-3,38,21,185,-96,299
1781609838.040,S02,RUNNING,-58,-1186,17037,57,1,33,208,-88,294
1781609838.050,S02,RUNNING,1701,-261,20893,6,18,23,188,-88,294
1781609838.060,S02,RUNNING,680,317,21877,4,4,-1,213,-91,284
1781609838.070,S02,RUNNING,667,289,18907,6,15,2,194,-95,298
1781609838.080,S02,RUNNING,833,478,15659,-26,23,-7,184,-89,287
1781609838.090,S02,RUNNING,-127,912,17011,11,27,3,190,-98,302
1781609838.100,S02,RUNNING,593,-788,19362,-27,-25,26,204,-86,298
1781609838.110,S02,RUNNING,-886,1171,15263,3,-8,0,176,-107,302
1781609838.120,S02,RUNNING,931,-130,21949,56,29,-12,200,-94,301
1781609838.130,S02,RUNNING,2,-447,19367,-96,49,5,205,-90,303
1781609838.140,S02,RUNNING,744,-14,18919,23,5,-15,209,-101,300
1781609838.150,S02,RUNNING,657,-318,18348,-27,30,7,199,-75,310
1781609838.160,S02,RUNNING,-294,-508,20495,5,-27,-8,205,-90,309
1781609838.170,S02,RUNNING,747,169,19666,-10,42,-18,209,-97,292
1781609838.180,S02,RUNNING,645,-540,16851,25,-23,-12,202,-100,299
1781609838.190,S02,RUNNING,807,-226,17441,-5,41,12,187,-103,284
1781609838.200,S02,RUNNING,151,-278,18636,33,34,-8,206,-69,292
1781609838.210,S02,RUNNING,-365,-548,17424,14,-10,19,200,-105,295
1781609838.220,S02,RUNNING,-120,-611,20496,83,-1,-1,212,-91,298
1781609838.230,S02,RUNNING,321,-285,18394,30,55,-12,216,-100,303
1781609838.240,S02,RUNNING,1463,-1172,16006,11,-36,13,191,-102,299
1781609838.250,S02,RUNNING,-81,-354,23070,-28,24,13,210,-90,302
1781609838.260,S02,RUNNING,1357,-134,18335,13,29,-15,206,-109,293
1781609838.270,S02,RUNNING,1010,191,19478,40,6,-10,204,-93,312
1781609838.280,S02,RUNNING,147,914,20659,81,-79,23,191,-92,290
1781609838.290,S02,RUNNING,-61,-472,20873,-9,41,1,210,-97,297
1781609838.300,S02,RUNNING,-126,-80,21588,-42,24,-3,190,-101,290
1781609838.310,S02,RUNNING,318,4,17809,7,13,-4,193,-95,301
1781609838.320,S02,RUNNING,-254,-298,20575,7,5,4,194,-101,306
1781609838.330,S02,RUNNING,-92,-195,18021,8,17,6,212,-90,303
1781609838.340,S02,RUNNING,-302,-87,18695,-24,85,-22,187,-87,310
1781609838.350,S02,RUNNING,-793,-1109,19264,24,-22,15,196,-102,306
1781609838.360,S02,RUNNING,73,-956,18933,21,30,14,196,-107,299
1781609838.370,S02,RUNNING,-509,169,19506,18,20,-8,206,-90,298
1781609838.380,S02,RUNNING,35,-39,18992,76,42,9,190,-97,295
1781609838.390,S02,RUNNING,1735,-35,22122,67,78,27,195,-100,303
1781609838.400,S02,RUNNING,-64,166,18542,-64,-1,-5,195,-93,302
1781609838.410,S02,RUNNING,1314,-1223,18077,-7,28,-8,197,-83,286
1781609838.420,S02,RUNNING,96,-94,18803,-11,-63,34,179,-103,299
1781609838.430,S02,RUNNING,530,-165,21728,8,-8,14,195,-95,291
1781609838.440,S02,RUNNING,445,-310,17096,72,-9,10,206,-105,294
1781609838.450,S02,RUNNING,83,-809,18016,30,-2,24,196,-90,312
1781609838.460,S02,RUNNING,1393,-1,16977,36,33,27,208,-105,297
1781609838.470,S02,RUNNING,860,-429,20432,65,2,-8,196,-93,302
1781609838.480,S02,RUNNING,-209,421,19877,-27,19,-20,201,-91,281
1781609838.490,S02,RUNNING,121,-954,20415,32,105,0,192,-92,306
1781609838.500,S02,RUNNING,332,785,24233,-23,5,-8,201,-93,296
1781609838.510,S02,RUNNING,-1179,152,19503,40,72,11,203,-91,316
1781609838.520,S02,RUNNING,217,238,18688,16,64,9,206,-77,297
1781609838.530,S02,RUNNING,281,-318,20659,13,7,-19,202,-115,295
1781609838.540,S02,RUNNING,-659,533,17816,-2,17,22,195,-96,293
1781609838.550,S02,RUNNING,-399,1627,18812,-2,-2,-1,203,-100,312
1781609838.560,S02,RUNNING,216,628,21954,21,7,16,205,-95,293
1781609838.570,S02,RUNNING,1396,-183,21897,-19,47,-14,203,-109,302
1781609838.580,S02,RUNNING,200,1,16396,30,21,17,197,-102,306
1781609838.590,S02,RUNNING,-209,-1246,18799,-2,34,-3,208,-93,310
1781609838.600,S02,RUNNING,532,-808,19352,-8,-10,-14,199,-107,290
1781609838.610,S02,RUNNING,431,-1645,18225,26,55,9,218,-95,282
1781609838.620,S02,RUNNING,-927,432,21307,-9,-19,16,198,-94,280
1781609838.630,S02,RUNNING,433,142,18210,60,-51,4,191,-93,300
1781609838.640,S02,RUNNING,-147,161,20311,0,-44,16,193,-96,297
1781609838.650,S02,RUNNING,488,-942,20356,-36,30,-12,218,-97,298
1781609838.660,S02,RUNNING,-594,-447,18624,56,-5,-36,214,-115,287
1781609838.670,S02,RUNNING,157,-429,20318,-41,20,8,212,-93,300
1781609838.680,S02,RUNNING,642,-472,20538,1,13,-4,213,-74,304
1781609838.690,S02,RUNNING,123,507,15309,-33,-5,5,202,-102,298
1781609838.700,S02,RUNNING,848,356,18273,-22,35,12,205,-104,299
1781609838.710,S02,RUNNING,-679,917,21512,3,17,-10,193,-98,299
1781609838.720,S02,RUNNING,1093,-251,22726,-43,-33,1,184,-113,291
1781609838.730,S02,RUNNING,1170,668,19614,56,26,0,203,-107,298
1781609838.740,S02,RUNNING,638,792,16496,25,17,0,210,-111,301
1781609838.750,S02,RUNNING,340,-46,18787,21,1,41,197,-85,313
1781609838.760,S02,RUNNING,1600,212,19582,-2,-29,6,195,-92,275
1781609838.770,S02,RUNNING,-47,-25,18224,-17,37,-7,209,-84,289
1781609838.780,S02,RUNNING,-654,-71,17466,56,4,-2,217,-94,286
1781609838.790,S02,RUNNING,464,-1037,18170,15,2,15,192,-99,287
1781609838.800,S02,RUNNING,-314,-196,18421,-76,16,31,191,-89,307
1781609838.810,S02,RUNNING,-58,229,20181,13,13,7,194,-97,296
1781609838.820,S02,RUNNING,410,-1020,16786,30,0,-10,195,-93,298
1781609838.830,S02,RUNNING,1008,181,20896,20,6,-14,197,-105,288
1781609838.840,S02,RUNNING,228,305,17989,46,-47,1,204,-99,308
1781609838.850,S02,RUNNING,-307,-594,20498,-19,22,13,189,-93,301
1781609838.860,S02,RUNNING,224,-264,16295,54,17,-23,192,-95,305
1781609838.870,S02,RUNNING,1111,605,17426,6,-10,16,213,-70,298
1781609838.880,S02,RUNNING,169,85,19706,38,51,-23,199,-83,294
1781609838.890,S02,RUNNING,-1094,-1042,18818,-25,-2,-1,194,-112,292
1781609838.900,S02,RUNNING,666,-559,16515,-7,6,6,196,-105,312
1781609838.910,S02,RUNNING,462,231,17243,-38,15,5,209,-102,299
1781609838.920,S02,RUNNING,-130,-965,21493,26,-43,8,214,-86,298
1781609838.930,S02,RUNNING,596,-390,18302,4,14,4,203,-96,308
1781609838.940,S02,RUNNING,1137,321,20735,88,-33,-2,210,-100,302
1781609838.950,S02,RUNNING,750,297,20094,53,2,4,203,-99,323
1781609838.960,S02,RUNNING,-852,-305,18756,34,-16,-1,200,-79,290
1781609838.970,S02,RUNNING,-61,-963,19499,-21,35,-2,208,-84,299
1781609838.980,S02,RUNNING,-263,554,15630,20,28,20,197,-100,300
1781609838.990,S02,RUNNING,676,-805,17533,-21,25,3,230,-99,295
1781609839.000,S02,RUNNING,-428,5,19173,36,-69,-6,198,-89,327
1781609839.010,S02,RUNNING,975,124,20379,20,45,-2,177,-91,301
1781609839.020,S02,RUNNING,90,-132,16878,-3,35,-6,201,-93,300
1781609839.030,S02,RUNNING,-48,91,15671,-69,20,6,216,-96,315
1781609839.040,S02,RUNNING,736,668,21447,16,56,26,202,-97,274
1781609839.050,S02,RUNNING,-515,1171,24931,-18,48,36,202,-82,311
1781609839.060,S02,RUNNING,1329,217,20075,-56,41,14,193,-98,289
1781609839.070,S02,RUNNING,10,-697,24287,10,24,7,196,-85,318
1781609839.080,S02,RUNNING,57,-137,23178,-7,16,-9,189,-94,305
1781609839.090,S02,RUNNING,163,-1040,21122,20,76,19,208,-83,297
1781609839.100,S02,RUNNING,732,213,19997,17,60,-22,197,-103,285
1781609839.110,S02,RUNNING,-282,-389,17620,47,7,3,206,-104,284
1781609839.120,S02,RUNNING,-308,-514,19922,50,58,-3,200,-95,298
1781609839.130,S02,RUNNING,-173,-251,15925,-29,26,19,211,-105,298
1781609839.140,S02,RUNNING,-8,-590,21630,50,-36,-29,192,-108,318
1781609839.150,S02,RUNNING,314,-679,16364,3,23,-1,206,-82,314
1781609839.160,S02,RUNNING,987,-168,21815,64,102,19,188,-77,293
1781609839.170,S02,RUNNING,226,-912,19293,28,30,-6,190,-110,301
1781609839.180,S02,RUNNING,-189,336,21812,-2,-24,-11,200,-93,310
1781609839.190,S02,RUNNING,-580,253,14595,33,0,-2,196,-91,294
1781609839.200,S02,RUNNING,-113,549,19984,-26,14,19,205,-89,306
1781609839.210,S02,RUNNING,-387,-742,17397,59,49,-1,198,-86,293
1781609839.220,S02,RUNNING,522,-1240,16389,12,23,-20,202,-90,300
1781609839.230,S02,RUNNING,-862,-902,19828,-13,38,-5,188,-100,321
1781609839.240,S02,RUNNING,-384,-952,17119,-46,31,15,172,-102,321
1781609839.250,S02,RUNNING,361,475,17073,10,-20,-3,207,-82,299
1781609839.260,S02,RUNNING,451,735,18295,-9,-24,-2,201,-92,299
1781609839.270,S02,RUNNING,444,87,19306,66,-16,-1,205,-75,314
1781609839.280,S02,RUNNING,-34,-171,23432,-32,57,1,213,-95,305
1781609839.290,S02,RUNNING,165,117,16805,59,31,-7,212,-75,302
1781609839.300,S02,RUNNING,201,-994,17412,22,16,3,201,-84,287
1781609839.310,S02,RUNNING,490,-37,17470,21,16,17,199,-95,295
1781609839.320,S02,RUNNING,144,-218,21285,63,13,-15,208,-105,307
1781609839.330,S02,RUNNING,-363,-285,18838,27,-9,9,195,-98,303
1781609839.340,S02,RUNNING,649,20,16414,-15,43,12,203,-103,312
1781609839.350,S02,RUNNING,-82,240,15958,89,0,-18,219,-95,305
1781609839.360,S02,RUNNING,655,-181,19428,-16,14,-1,192,-96,293
1781609839.370,S02,RUNNING,316,151,18861,-26,15,-13,221,-91,301
1781609839.380,S02,RUNNING,-175,55,19297,19,24,-5,206,-98,303
1781609839.390,S02,RUNNING,-153,-605,18679,39,50,2,211,-95,317
1781609839.400,S02,RUNNING,-37,672,20331,9,40,17,187,-93,285
1781609839.410,S02,RUNNING,593,229,16668,-29,-5,8,163,-93,300
1781609839.420,S02,RUNNING,1681,624,16609,45,36,5,189,-97,301
1781609839.430,S02,RUNNING,-222,-839,17293,-37,48,2,195,-83,296
1781609839.440,S02,RUNNING,-956,-501,19719,47,23,-12,204,-117,294
1781609839.450,S02,RUNNING,-259,530,17970,27,26,7,197,-98,302
1781609839.460,S02,RUNNING,-608,-534,20265,-34,-22,9,195,-103,289
1781609839.470,S02,RUNNING,719,-52,16957,68,-90,1,215,-103,313
1781609839.480,S02,RUNNING,712,-230,14523,-31,59,15,196,-85,287
1781609839.490,S02,RUNNING,904,323,20715,-7,5,8,196,-104,291
1781609839.500,S02,RUNNING,-197,40,16935,9,0,34,183,-82,302
1781609839.510,S02,RUNNING,1143,-302,20175,26,69,-11,204,-110,305
1781609839.520,S02,RUNNING,892,233,18784,-58,-11,7,210,-88,300
1781609839.530,S02,RUNNING,-116,121,17556,-19,-2,-5,210,-90,302
1781609839.540,S02,RUNNING,49,-409,19841,19,78,3,181,-82,303
1781609839.550,S02,RUNNING,-130,-800,16337,19,6,16,195,-90,293
1781609839.560,S02,RUNNING,1076,455,22628,63,-41,25,195,-117,318
1781609839.570,S02,RUNNING,797,-224,19256,27,-36,22,203,-94,289
1781609839.580,S02,RUNNING,493,-1200,21294,-35,26,2,204,-99,294
1781609839.590,S02,RUNNING,996,-813,18396,-20,57,27,185,-124,297
1781609839.600,S02,RUNNING,211,-283,19410,-53,8,-4,200,-70,287
1781609839.610,S02,RUNNING,-222,454,17570,-15,-12,-16,199,-99,293
1781609839.620,S02,RUNNING,56,-897,16834,32,19,15,189,-107,281
1781609839.630,S02,RUNNING,-988,-207,16472,27,35,-5,208,-91,309
1781609839.640,S02,RUNNING,418,-1166,17562,81,58,26,201,-93,306
1781609839.650,S02,RUNNING,-660,1102,17210,31,-27,-27,191,-95,287
1781609839.660,S02,RUNNING,-559,148,17832,42,36,-11,204,-73,289
1781609839.670,S02,RUNNING,1537,-568,18368,32,-2,3,189,-90,285
1781609839.680,S02,RUNNING,-169,-686,21392,49,-15,4,186,-104,289
1781609839.690,S02,RUNNING,22,175,18149,3,-11,7,191,-94,293
1781609839.700,S02,RUNNING,276,159,17983,38,44,10,202,-105,307
1781609839.710,S02,RUNNING,1417,-1396,18401,60,9,8,187,-83,298
1781609839.720,S02,RUNNING,-625,157,20203,21,25,9,196,-91,285
1781609839.730,S02,RUNNING,485,592,22474,35,33,-8,212,-109,292
1781609839.740,S02,RUNNING,-90,1457,19285,-10,62,1,187,-90,303
1781609839.750,S02,RUNNING,-92,-38,19833,11,-44,18,206,-114,303
1781609839.760,S02,RUNNING,93,-333,18754,8,25,9,207,-107,302
1781609839.770,S02,RUNNING,629,-663,19621,17,53,-42,203,-114,305
1781609839.780,S02,RUNNING,-32,-1025,21348,23,7,-8,208,-101,309
1781609839.790,S02,RUNNING,136,-50,18060,29,20,-18,207,-110,303
1781609839.800,S02,RUNNING,1255,175,20089,-8,25,25,176,-107,288
1781609839.810,S02,RUNNING,-542,-293,21524,-13,-3,1,200,-90,298
1781609839.820,S02,RUNNING,-30,-681,18753,44,21,5,198,-97,300
1781609839.830,S02,RUNNING,353,-165,19481,14,25,-29,193,-99,287
1781609839.840,S02,RUNNING,99,583,19065,58,-14,-11,207,-85,322
1781609839.850,S02,RUNNING,351,1100,18010,32,34,25,205,-93,318
1781609839.860,S02,RUNNING,226,-289,18805,36,30,-12,199,-105,318
1781609839.870,S02,RUNNING,1121,-716,19684,-13,9,15,200,-92,286
1781609839.880,S02,RUNNING,845,-1128,17260,81,96,8,213,-96,310
1781609839.890,S02,RUNNING,241,-601,17327,-10,34,11,193,-72,303
1781609839.900,S02,RUNNING,562,-294,20594,-77,-35,25,198,-85,310
1781609839.910,S02,RUNNING,-521,-82,20511,34,36,13,192,-81,303
1781609839.920,S02,RUNNING,-1061,-474,17680,57,34,-28,194,-87,290
1781609839.930,S02,RUNNING,1053,-408,19528,-5,26,33,204,-105,289
1781609839.940,S02,RUNNING,-829,-772,13940,7,5,-24,190,-107,299
1781609839.950,S02,RUNNING,-209,-579,17606,50,43,9,193,-84,279
1781609839.960,S02,RUNNING,1671,-404,15596,-31,49,-13,196,-98,293
1781609839.970,S02,RUNNING,-203,-229,23268,2,9,-2,186,-74,296
1781609839.980,S02,RUNNING,307,-158,23258,-35,19,-26,192,-97,309
1781609839.990,S02,RUNNING,-37,-960,16933,42,-3,11,207,-102,307
1781609840.000,S02,RUNNING,352,-667,15341,17,23,0,186,-95,315
1781609840.010,S02,RUNNING,-478,411,21466,18,-40,17,209,-69,304
1781609840.020,S02,RUNNING,1017,119,20459,-4,-61,36,189,-82,310
1781609840.030,S02,RUNNING,571,782,21066,6,27,-2,205,-100,290
1781609840.040,S02,RUNNING,241,-520,18781,-4,23,-30,197,-96,297
1781609840.050,S02,RUNNING,154,-197,20467,-61,77,8,208,-102,311
1781609840.060,S02,RUNNING,-624,-61,17546,-4,-8,-43,199,-70,302
1781609840.070,S02,RUNNING,250,-841,20327,55,53,11,211,-80,299
1781609840.080,S02,RUNNING,635,-633,19810,-45,47,0,197,-85,309
1781609840.090,S02,RUNNING,793,-230,19594,49,20,-1,196,-98,297
1781609840.100,S02,RUNNING,-590,223,16880,43,40,-11,205,-98,305
1781609840.110,S02,RUNNING,519,319,18712,8,0,4,190,-80,289
1781609840.120,S02,RUNNING,-711,-458,19014,2,0,20,204,-122,302
1781609840.130,S02,RUNNING,44,115,20368,30,35,-14,199,-98,294
1781609840.140,S02,RUNNING,999,-686,18064,37,57,40,196,-104,305
1781609840.150,S02,RUNNING,555,265,22073,23,-4,-10,195,-107,283
1781609840.160,S02,RUNNING,814,-379,21846,20,50,6,189,-102,303
1781609840.170,S02,RUNNING,-98,-84,18188,13,8,-13,194,-96,305
1781609840.180,S02,RUNNING,-9,250,19607,47,60,3,195,-113,284
1781609840.190,S02,RUNNING,-169,-70,17915,-7,15,-16,208,-90,308
1781609840.200,S02,RUNNING,665,-401,18308,59,-18,24,183,-85,286
1781609840.210,S02,RUNNING,-78,-171,17996,16,44,-11,184,-98,306
1781609840.220,S02,RUNNING,147,-981,21290,-9,35,27,180,-95,304
1781609840.230,S02,RUNNING,-318,-295,16210,22,11,-8,190,-109,292
1781609840.240,S02,RUNNING,667,-690,18962,22,73,-4,198,-108,304
1781609840.250,S02,RUNNING,926,902,18521,21,5,22,205,-80,304
1781609840.260,S02,RUNNING,824,-227,19864,23,13,20,195,-91,299
1781609840.270,S02,RUNNING,-118,488,19829,29,54,-26,202,-91,283
1781609840.280,S02,RUNNING,834,289,18901,15,22,4,204,-99,283
1781609840.290,S02,RUNNING,131,979,13059,35,28,5,206,-102,302
1781609840.300,S02,RUNNING,-165,-130,19250,-34,15,-22,196,-106,304
1781609840.310,S02,RUNNING,436,-487,17438,42,18,-18,192,-102,311
1781609840.320,S02,RUNNING,-49,649,18650,43,-29,-2,190,-92,298
1781609840.330,S02,RUNNING,1190,146,15549,0,40,-4,199,-90,299
1781609840.340,S02,RUNNING,624,-1099,19844,-35,-16,9,207,-94,306
1781609840.350,S02,RUNNING,-647,-226,22470,38,24,-4,194,-101,316
1781609840.360,S02,RUNNING,957,-3,16798,51,77,2,199,-76,287
1781609840.370,S02,RUNNING,-634,-327,15517,-8,47,-20,190,-82,303
1781609840.380,S02,RUNNING,379,-1443,20844,13,4,22,205,-104,284
1781609840.390,S02,RUNNING,650,191,18219,-53,-18,10,212,-99,300
1781609840.400,S02,RUNNING,164,-276,20976,-23,2,-19,198,-102,297
1781609840.410,S02,RUNNING,1020,76,18466,40,65,3,212,-96,302
1781609840.420,S02,RUNNING,-264,822,17325,32,4,-26,195,-101,298
1781609840.430,S02,RUNNING,371,-233,17265,-31,23,-8,196,-92,314
1781609840.440,S02,RUNNING,-956,-934,18316,13,-2,8,193,-93,302
1781609840.450,S02,RUNNING,214,53,20605,16,13,-26,200,-105,280
1781609840.460,S02,RUNNING,762,668,14912,74,50,-8,181,-93,301
1781609840.470,S02,RUNNING,223,503,19832,3,93,12,205,-92,302
