timestamp,subject_id,activity_label,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1781609838.000,S02,SITTING,14,-38,16421,0,-1,0,185,-96,303
1781609838.010,S02,SITTING,51,-45,16437,1,-11,-4,199,-101,297
1781609838.020,S02,SITTING,50,40,16422,-10,6,6,197,-98,298
1781609838.030,S02,SITTING,39,6,16634,3,-2,6,204,-99,296
1781609838.040,S02,SITTING,6,-20,16449,11,5,18,202,-89,297
1781609838.050,S02,SITTING,14,-37,16151,11,0,13,203,-106,306
1781609838.060,S02,SITTING,-4,-46,16462,0,10,0,197,-101,292
1781609838.070,S02,SITTING,28,41,16517,0,-5,5,204,-92,303
1781609838.080,S02,SITTING,90,-37,16411,-6,4,-3,207,-95,309
1781609838.090,S02,SITTING,64,-31,16324,-6,11,-5,200,-99,294
1781609838.100,S02,SITTING,82,-16,16298,-1,-4,9,205,-91,299
1781609838.110,S02,SITTING,52,-44,16343,9,3,-16,197,-100,302
1781609838.120,S02,SITTING,38,25,16554,-5,-8,-6,198,-92,309
1781609838.130,S02,SITTING,-5,-15,16374,2,-9,-9,202,-91,297
1781609838.140,S02,SITTING,58,-48,16347,10,4,-1,195,-85,298
1781609838.150,S02,SITTING,24,77,16366,-2,-2,-13,203,-99,310
1781609838.160,S02,SITTING,-34,-9,16387,1,-4,-5,199,-94,301
1781609838.170,S02,SITTING,36,11,16280,-7,-14,0,198,-104,293
1781609838.180,S02,SITTING,54,-111,16367,1,-4,4,207,-108,294
1781609838.190,S02,SITTING,60,-22,16454,-3,-4,1,192,-94,307
1781609838.200,S02,SITTING,15,-77,16460,7,-12,1,199,-98,293
1781609838.210,S02,SITTING,13,-17,16417,9,-9,6,202,-96,302
1781609838.220,S02,SITTING,46,-15,16351,-4,-7,8,199,-95,298
1781609838.230,S02,SITTING,-38,-27,16399,7,11,12,207,-100,311
1781609838.240,S02,SITTING,34,-131,16421,-5,6,5,197,-101,298
1781609838.250,S02,SITTING,11,12,16369,10,0,-14,204,-90,301
1781609838.260,S02,SITTING,40,-77,16255,6,-11,-4,203,-96,301
1781609838.270,S02,SITTING,-32,-50,16379,0,-2,-8,207,-95,301
1781609838.280,S02,SITTING,51,-26,16362,-3,-5,6,200,-102,312
1781609838.290,S02,SITTING,-17,-73,16404,9,-11,16,200,-103,296
