timestamp,subject_id,activity_label,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1781610138.000,S03,WALKING,-183,201,16253,19,-34,6,211,-97,300
1781610138.010,S03,WALKING,180,-74,16991,90,-25,4,198,-85,274
1781610138.020,S03,WALKING,180,70,16787,-18,11,15,200,-103,278
1781610138.030,S03,WALKING,91,-109,17187,-35,-24,36,211,-99,305
1781610138.040,S03,WALKING,520,-29,16454,15,-32,10,195,-110,312
1781610138.050,S03,WALKING,178,218,16290,-3,39,-25,226,-78,302
1781610138.060,S03,WALKING,83,-97,16301,-54,69,-9,201,-109,323
1781610138.070,S03,WALKING,56,186,16797,45,-22,12,176,-82,327
1781610138.080,S03,WALKING,-14,347,16605,-8,-34,0,169,-129,287
1781610138.090,S03,WALKING,-643,80,16096,39,-62,18,188,-107,304
1781610138.100,S03,WALKING,-64,61,16342,56,-38,-31,186,-66,305
1781610138.110,S03,WALKING,-275,-106,16518,-36,-22,-10,202,-85,310
1781610138.120,S03,WALKING,67,27,17159,-51,14,31,204,-117,293
1781610138.130,S03,WALKING,297,582,16415,28,-9,-11,177,-131,292
1781610138.140,S03,WALKING,647,31,16443,-67,32,1,196,-80,300
1781610138.150,S03,WALKING,37,-393,16981,-57,41,-25,191,-137,305
1781610138.160,S03,WALKING,-495,-219,16657,-32,-11,-24,209,-107,313
1781610138.170,S03,WALKING,-422,-153,15989,-135,-32,46,212,-101,301
1781610138.180,S03,WALKING,-94,502,16506,-63,-32,16,183,-114,322
1781610138.190,S03,WALKING,-97,281,16907,77,20,23,219,-67,312
1781610138.200,S03,WALKING,-145,-422,16790,61,59,16,198,-91,279
1781610138.210,S03,WALKING,177,56,16324,-62,-23,-15,184,-108,299
1781610138.220,S03,WALKING,-552,-11,16635,73,15,-42,215,-97,276
1781610138.230,S03,WALKING,603,7,16605,5,10,-18,194,-112,287
1781610138.240,S03,WALKING,-556,188,16899,130,41,10,217,-108,298
1781610138.250,S03,WALKING,66,139,16766,-3,14,-14,180,-97,323
1781610138.260,S03,WALKING,-233,-134,17164,-49,-45,52,212,-98,317
1781610138.270,S03,WALKING,-872,413,16200,-79,-44,-32,196,-118,310
1781610138.280,S03,WALKING,454,-166,15633,-99,17,-16,186,-121,321
1781610138.290,S03,WALKING,334,-22,16380,-11,-36,27,195,-97,271
1781610138.300,S03,WALKING,135,34,16307,87,14,-13,180,-112,291
1781610138.310,S03,WALKING,-51,-409,16848,0,31,-16,199,-96,283
1781610138.320,S03,WALKING,125,115,15661,77,73,15,208,-107,283
1781610138.330,S03,WALKING,98,210,16264,22,38,5,198,-82,292
1781610138.340,S03,WALKING,-67,462,16627,-17,-34,-32,195,-86,303
1781610138.350,S03,WALKING,-54,-178,16832,-10,-20,-18,183,-88,289
1781610138.360,S03,WALKING,317,336,17057,-73,-48,2,204,-102,319
1781610138.370,S03,WALKING,535,317,16713,-15,59,6,196,-89,296
1781610138.380,S03,WALKING,201,-128,17038,76,3,-5,205,-86,307
1781610138.390,S03,WALKING,851,-502,16022,-55,-10,-3,176,-110,289
1781610138.400,S03,WALKING,449,-192,16778,-3,12,-5,196,-76,290
1781610138.410,S03,WALKING,255,41,16270,30,-100,-17,184,-78,287
1781610138.420,S03,WALKING,-851,72,15957,99,13,-3,189,-87,291
1781610138.430,S03,WALKING,288,-336,17035,-61,22,23,201,-116,300
1781610138.440,S03,WALKING,130,-4,16613,51,24,-42,184,-91,284
1781610138.450,S03,WALKING,46,145,15781,-5,30,7,181,-107,293
1781610138.460,S03,WALKING,41,-41,16259,30,61,-47,215,-77,297
1781610138.470,S03,WALKING,704,-272,16416,-52,11,29,200,-124,288
1781610138.480,S03,WALKING,54,69,16307,50,-29,48,169,-95,284
1781610138.490,S03,WALKING,65,-75,16603,-4,9,8,212,-88,291
1781610138.500,S03,WALKING,415,-153,15994,64,21,4,204,-114,267
1781610138.510,S03,WALKING,194,122,16638,85,-90,-40,213,-84,270
1781610138.520,S03,WALKING,59,-228,16811,-8,-6,20,187,-135,272
1781610138.530,S03,WALKING,-254,-496,16908,-55,-38,28,213,-93,288
1781610138.540,S03,WALKING,-66,-149,17031,4,59,-34,202,-102,294
1781610138.550,S03,WALKING,254,178,16646,50,79,-45,181,-113,306
1781610138.560,S03,WALKING,391,402,17166,22,5,-53,193,-114,289
1781610138.570,S03,WALKING,-241,66,16406,38,25,28,186,-126,338
1781610138.580,S03,WALKING,-513,348,17029,25,15,-70,165,-113,313
1781610138.590,S03,WALKING,43,-172,16564,25,-10,14,191,-110,286
1781610138.600,S03,WALKING,-230,149,16836,93,25,29,211,-72,298
1781610138.610,S03,WALKING,587,4,17102,66,-20,16,205,-82,315
1781610138.620,S03,WALKING,231,131,16026,7,-32,19,202,-79,289
1781610138.630,S03,WALKING,133,1,16448,47,79,-12,205,-71,285
1781610138.640,S03,WALKING,-35,108,16283,33,-63,-7,167,-101,319
1781610138.650,S03,WALKING,56,-190,16696,-6,-32,-20,192,-105,294
1781610138.660,S03,WALKING,-48,-241,15613,-35,1,11,210,-114,288
1781610138.670,S03,WALKING,-126,-125,16036,72,-13,-12,207,-109,306
1781610138.680,S03,WALKING,296,-128,16057,-31,24,-17,185,-97,309
1781610138.690,S03,WALKING,-266,369,16933,47,50,13,202,-105,316
1781610138.700,S03,WALKING,337,-89,17236,67,-68,-18,217,-92,275
1781610138.710,S03,WALKING,-405,-382,17074,-8,-51,-31,194,-97,285
1781610138.720,S03,WALKING,405,-252,16366,-22,12,-4,195,-87,279
1781610138.730,S03,WALKING,-181,46,16292,-11,-8,53,195,-101,319
1781610138.740,S03,WALKING,227,-144,16717,47,-8,-42,218,-110,314
1781610138.750,S03,WALKING,342,-10,16982,-9,-37,-4,189,-93,303
1781610138.760,S03,WALKING,-246,-173,16812,-58,-27,0,178,-81,313
1781610138.770,S03,WALKING,280,208,16320,-50,64,55,218,-102,302
1781610138.780,S03,WALKING,249,60,16433,11,33,52,205,-106,325
1781610138.790,S03,WALKING,-131,-282,16557,7,-12,-43,184,-85,296
1781610138.800,S03,WALKING,88,-3,16089,0,-56,-16,180,-107,318
1781610138.810,S03,WALKING,-33,168,16314,26,8,-22,186,-124,297
1781610138.820,S03,WALKING,-297,-51,16566,68,-77,-54,185,-94,300
1781610138.830,S03,WALKING,-45,193,15807,-57,10,-15,203,-105,315
1781610138.840,S03,WALKING,-165,96,17664,28,-23,0,212,-98,302
1781610138.850,S03,WALKING,2,34,16187,-9,45,18,181,-104,316
1781610138.860,S03,WALKING,466,235,16669,0,-13,27,195,-111,307
1781610138.870,S03,WALKING,-580,0,16735,21,-21,15,220,-103,290
1781610138.880,S03,WALKING,581,-95,16773,-18,-34,-22,199,-93,300
1781610138.890,S03,WALKING,-352,-300,17270,-57,-83,-39,226,-104,297
1781610138.900,S03,WALKING,82,270,17031,31,-7,-8,178,-95,292
1781610138.910,S03,WALKING,-337,-191,16605,28,-38,19,200,-91,276
1781610138.920,S03,WALKING,592,33,16429,61,61,56,213,-92,282
